Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,David GROSSENBACHER POSITION,David GROSSENBACHER LAP TIME,David GROSSENBACHER ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Bulat VALIULLIN POSITION,Bulat VALIULLIN LAP TIME,Bulat VALIULLIN ELAPSED TIME
1,9.577,9.577,2,9.943,9.943,4,10.621,10.621,5,10.662,10.662,3,10.088,10.088
1,13.035,22.612,2,12.809,22.751,5,12.775,23.396,3,12.353,23.015,4,13.051,23.139
1,11.912,34.524,2,12.060,34.811,5,12.118,35.513,4,12.163,35.177,3,11.975,35.114
1,12.067,46.591,2,12.000,46.810,5,11.818,47.331,3,11.868,47.044,4,11.984,47.097
1,11.588,58.178,2,11.557,58.367,5,11.486,58.816,4,11.599,58.643,3,11.346,58.442
1,10.580,1:08.757,2,10.463,1:08.829,5,10.643,1:09.459,4,10.558,1:09.200,3,10.431,1:08.873
2,9.784,1:18.540,1,9.641,1:18.470,5,9.696,1:19.155,4,9.703,1:18.903,3,9.768,1:18.640
3,9.966,1:28.506,1,9.946,1:28.416,5,9.646,1:28.800,4,9.634,1:28.536,2,9.862,1:28.502
1,9.375,1:37.881,4,9.855,1:38.270,5,10.253,1:39.052,2,9.571,1:38.107,3,9.678,1:38.180
1,9.056,1:46.936,5,9.712,1:47.982,3,8.388,1:47.440,4,9.360,1:47.466,2,9.082,1:47.261
1,9.278,1:56.214,5,9.892,1:57.873,2,8.971,1:56.410,4,9.459,1:56.925,3,9.355,1:56.615
1,9.436,2:05.650,5,10.181,2:08.054,2,9.556,2:05.966,4,9.366,2:06.291,3,9.585,2:06.200
1,9.634,2:15.283,5,10.286,2:18.339,2,9.495,2:15.460,4,9.580,2:15.870,3,9.437,2:15.636
2,9.38,2:24.657,5,10.65,2:28.981,1,9.11,2:24.563,4,9.64,2:25.508,3,9.27,2:24.899
