KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME
1,14.27,14.27,3,14.52,14.52,4,14.73,14.73,2,14.38,14.38
1,9.97,24.24,3,9.98,24.50,4,9.88,24.61,2,10.02,24.40
1,9.22,33.46,3,9.16,33.66,4,9.16,33.77,2,9.18,33.58
1,9.01,42.47,2,8.90,42.56,4,8.91,42.68,3,9.00,42.58
1,8.87,51.34,2,8.93,51.49,3,8.91,51.59,4,9.22,51.80
1,8.96,1:00.30,2,8.88,1:00.37,3,8.85,1:00.44,4,9.31,1:01.11
1,9.03,1:09.33,3,9.20,1:09.57,2,8.96,1:09.40,4,9.69,1:10.80
1,9.19,1:18.52,3,9.39,1:18.96,2,9.16,1:18.56,4,10.45,1:21.25
1,9.32,1:27.84,3,9.91,1:28.87,2,9.34,1:27.90,4,11.63,1:32.88
