Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,7.15,7.15,3,7.27,7.27,1,7.05,7.05,4,7.35,7.35
3,9.48,16.63,2,9.31,16.58,1,9.13,16.18,4,9.33,16.68
4,9.20,25.83,2,8.69,25.27,1,8.76,24.94,3,8.74,25.42
4,30.04,55.87,2,8.76,34.03,1,8.92,33.86,3,8.71,34.13
4,15.37,1:11.231,1,9.06,43.090,2,9.26,43.113,3,9.05,43.174
