Marta KNOCH POSITION,Marta KNOCH LAP TIME,Marta KNOCH ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME
4,14.05,14.05,2,13.97,13.97,5,14.28,14.28,1,13.93,13.93,3,14.03,14.03
5,10.42,24.47,3,10.36,24.33,4,10.16,24.44,2,10.37,24.30,1,10.24,24.27
5,9.86,34.33,4,9.85,34.18,2,9.51,33.95,3,9.76,34.06,1,9.58,33.85
5,9.64,43.97,4,9.65,43.83,2,9.68,43.63,3,9.65,43.71,1,9.68,43.53
5,9.55,53.52,4,9.56,53.39,1,9.42,53.05,3,9.60,53.31,2,9.71,53.24
5,9.59,1:03.11,4,9.62,1:03.01,1,9.52,1:02.57,3,9.63,1:02.94,2,9.69,1:02.93
5,9.95,1:13.06,3,9.69,1:12.70,1,9.50,1:12.07,2,9.22,1:12.16,4,10.06,1:12.99
4,10.20,1:23.26,3,9.66,1:22.36,1,9.54,1:21.61,2,9.56,1:21.72,5,10.46,1:23.45
4,10.82,1:34.08,3,10.00,1:32.36,1,9.72,1:31.33,2,9.68,1:31.40,5,10.74,1:34.19
