Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
1,7.07,7.07,3,7.37,7.37,2,7.10,7.10,4,7.58,7.58
1,9.37,16.44,3,9.68,17.05,2,9.37,16.48,4,9.70,17.28
1,8.92,25.36,3,9.06,26.12,2,9.04,25.52,4,8.96,26.24
2,9.13,34.50,3,9.17,35.29,1,8.96,34.49,4,9.15,35.39
1,9.43,43.922,3,9.67,44.956,2,9.57,44.056,0,,DQ
