LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
1,6.67,6.67,3,7.02,7.02,4,7.50,7.50,2,6.85,6.85
1,9.10,15.77,3,9.04,16.06,4,8.71,16.21,2,9.19,16.04
1,8.74,24.51,2,8.58,24.64,4,8.63,24.84,3,8.67,24.71
3,8.80,33.31,2,8.64,33.28,4,8.83,33.67,1,8.53,33.24
3,9.19,42.492,2,8.92,42.191,4,8.91,42.572,1,8.83,42.067
