Davide URBANI POSITION,Davide URBANI LAP TIME,Davide URBANI ELAPSED TIME,KWON Ki-Deok POSITION,KWON Ki-Deok LAP TIME,KWON Ki-Deok ELAPSED TIME,LEFRANCOIS-GAUVREAU Mathieu POSITION,LEFRANCOIS-GAUVREAU Mathieu LAP TIME,LEFRANCOIS-GAUVREAU Mathieu ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,15.396,15.396,3,15.571,15.571,1,15.319,15.319,4,15.610,15.610
4,13.079,28.475,2,12.706,28.276,1,12.731,28.050,3,12.680,28.290
3,11.286,39.760,1,11.000,39.276,2,11.674,39.724,4,11.598,39.887
4,9.882,49.642,1,9.828,49.103,2,9.570,49.294,3,9.471,49.358
4,9.293,58.935,1,9.128,58.231,2,9.094,58.388,3,9.355,58.713
2,9.086,1:08.021,4,10.069,1:08.299,3,9.697,1:08.084,1,9.136,1:07.848
2,9.332,1:17.353,3,9.148,1:17.446,1,9.049,1:17.133,4,9.743,1:17.591
4,9.361,1:26.713,3,9.050,1:26.496,1,9.219,1:26.351,2,8.763,1:26.354
3,9.40,1:36.105,1,9.39,1:35.884,2,9.58,1:35.929,4,9.89,1:36.241
