Jonathan LOPEZ POSITION,Jonathan LOPEZ LAP TIME,Jonathan LOPEZ ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
4,7.50,7.50,3,7.12,7.12,1,6.80,6.80,2,7.04,7.04
4,9.76,17.26,3,9.29,16.41,1,9.07,15.87,2,8.95,15.99
4,9.21,26.47,3,8.65,25.06,2,8.85,24.72,1,8.57,24.56
4,9.42,35.89,3,8.72,33.78,2,9.00,33.72,1,8.71,33.27
3,9.77,45.653,2,8.92,42.696,0,,PEN,1,9.00,42.263
