Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME
1,12.73,12.73,2,12.82,12.82,3,12.98,12.98,4,13.11,13.11
2,9.58,22.31,1,9.38,22.20,3,9.49,22.47,4,9.46,22.57
2,9.26,31.57,1,9.28,31.48,3,9.20,31.67,4,9.16,31.73
2,9.18,40.75,1,9.19,40.67,3,9.21,40.88,4,9.24,40.97
2,9.05,49.80,1,9.05,49.72,3,9.04,49.92,4,9.07,50.04
1,8.98,58.78,4,9.21,58.93,2,8.93,58.85,3,8.83,58.87
1,8.96,1:07.74,4,9.15,1:08.08,3,9.09,1:07.94,2,8.93,1:07.80
1,8.96,1:16.70,4,9.01,1:17.09,3,9.01,1:16.95,2,8.98,1:16.78
0,,PEN,3,10.19,1:27.272,2,8.94,1:25.882,1,9.06,1:25.836
