HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,KOIKE Katsunori POSITION,KOIKE Katsunori LAP TIME,KOIKE Katsunori ELAPSED TIME,Marc GONZALES POSITION,Marc GONZALES LAP TIME,Marc GONZALES ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,DANDJINOU William POSITION,DANDJINOU William LAP TIME,DANDJINOU William ELAPSED TIME
1,8.27,8.27,2,8.41,8.41,4,8.54,8.54,6,8.79,8.79,5,8.66,8.66,3,8.49,
3,11.88,20.15,4,11.83,20.24,1,11.33,19.87,6,11.68,20.47,5,11.67,20.33,2,11.61,
3,10.79,30.94,4,10.81,31.05,1,10.88,30.75,6,10.76,31.23,5,10.79,31.12,2,10.77,
4,11.18,42.12,1,10.68,41.73,2,11.13,41.88,6,11.12,42.35,5,11.11,42.23,3,11.14,
4,10.59,52.71,1,10.66,52.39,3,10.73,52.61,6,10.56,52.91,5,10.58,52.81,2,10.51,
2,10.58,1:03.29,1,10.78,1:03.17,5,10.82,1:03.43,6,10.66,1:03.57,3,10.51,1:03.32,3,10.80,
3,10.29,1:13.58,2,10.32,1:13.49,5,10.35,1:13.78,6,10.33,1:13.90,1,10.09,1:13.41,4,10.38,
3,10.22,1:23.80,5,10.60,1:24.09,4,10.16,1:23.94,6,10.25,1:24.15,1,10.23,1:23.64,2,10.07,
1,9.68,1:33.48,5,9.84,1:33.93,4,9.97,1:33.91,6,9.97,1:34.12,2,9.99,1:33.63,3,10.05,
2,9.80,1:43.28,5,9.77,1:43.70,4,9.65,1:43.56,6,9.70,1:43.82,1,9.63,1:43.26,3,9.64,
2,9.40,1:52.68,5,9.40,1:53.10,4,9.33,1:52.89,6,9.42,1:53.24,1,9.36,1:52.62,3,9.23,
3,9.21,2:01.89,5,9.38,2:02.48,4,9.10,2:01.99,6,9.39,2:02.63,1,9.04,2:01.66,2,9.09,
3,8.95,2:10.84,5,9.72,2:12.20,4,9.12,2:11.11,6,9.69,2:12.32,1,8.89,2:10.55,2,8.96,
2,8.87,2:19.71,5,10.06,2:22.26,4,9.48,2:20.59,6,10.04,2:22.36,1,8.83,2:19.38,3,9.08,
