Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
5,10.65,10.65,2,10.37,10.37,3,10.44,10.44,1,10.23,10.23,4,10.45,10.45,6,10.84,10.84,7,10.97,10.97
1,13.71,24.36,4,14.30,24.67,6,14.54,24.98,3,14.30,24.53,5,14.33,24.78,7,14.29,25.13,2,13.46,24.43
2,12.00,36.36,4,11.98,36.65,6,11.84,36.82,3,11.99,36.52,5,11.95,36.73,7,11.87,37.00,1,11.80,36.23
1,12.06,48.42,3,11.99,48.64,5,12.03,48.85,6,12.42,48.94,4,12.05,48.78,7,12.10,49.10,2,12.30,48.53
1,11.39,59.81,4,11.41,1:00.05,6,11.47,1:00.32,2,10.98,59.92,5,11.41,1:00.19,7,11.36,1:00.46,3,11.41,59.94
1,10.37,1:10.18,4,10.44,1:10.49,6,10.30,1:10.62,3,10.50,1:10.42,5,10.37,1:10.56,6,10.16,1:10.62,2,10.37,1:10.31
3,10.65,1:20.83,1,10.30,1:20.79,6,10.59,1:21.21,4,10.52,1:20.94,5,10.51,1:21.07,7,10.68,1:21.30,2,10.51,1:20.82
6,10.22,1:31.05,1,10.05,1:30.84,7,9.87,1:31.08,2,9.97,1:30.91,2,9.84,1:30.91,5,9.70,1:31.00,4,10.15,1:30.97
7,9.75,1:40.80,3,9.71,1:40.55,6,9.64,1:40.72,2,9.54,1:40.45,1,9.49,1:40.40,4,9.64,1:40.64,5,9.70,1:40.67
4,9.49,1:50.29,3,9.63,1:50.18,7,9.70,1:50.42,2,9.63,1:50.08,1,9.22,1:49.62,6,9.70,1:50.34,5,9.64,1:50.31
4,9.67,1:59.96,3,9.69,1:59.87,6,9.74,2:00.16,2,9.71,1:59.79,1,9.54,1:59.16,7,10.05,2:00.39,5,9.83,2:00.14
3,9.74,2:09.70,2,9.60,2:09.47,4,9.61,2:09.77,5,9.99,2:09.78,1,9.73,2:08.89,7,11.95,2:12.34,6,10.11,2:10.25
3,9.61,2:19.31,2,9.67,2:19.14,4,9.60,2:19.37,5,10.09,2:19.87,1,9.94,2:18.83,7,12.24,2:24.58,6,10.20,2:20.45
3,9.73,2:29.025,2,9.84,2:28.971,4,9.79,2:29.136,5,10.30,2:30.145,1,9.96,2:28.773,7,12.63,2:37.182,6,10.61,2:31.041
