Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME
2,7.10,7.10,5,7.55,7.55,3,7.30,7.30,1,6.97,6.97,4,7.32,7.32
3,9.17,16.27,4,9.13,16.68,5,9.58,16.88,1,8.87,15.84,2,8.74,16.06
3,8.54,24.81,4,8.61,25.29,5,9.18,26.06,1,8.43,24.27,2,8.41,24.47
3,8.58,33.39,4,8.73,34.02,5,9.18,35.24,1,8.55,32.82,2,8.47,32.94
3,8.83,42.22,4,8.92,42.94,5,9.47,44.71,1,8.80,41.62,2,8.75,41.69
