Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Eduardo ALVAREZ POSITION,Eduardo ALVAREZ LAP TIME,Eduardo ALVAREZ ELAPSED TIME
1,6.99,6.99,2,7.12,7.12,4,7.47,7.47,3,7.23,7.23
1,9.17,16.16,2,9.16,16.28,4,9.31,16.78,3,9.27,16.50
4,27.93,44.09,1,8.73,25.01,3,8.84,25.62,2,8.64,25.14
4,17.25,1:01.34,1,8.80,33.81,3,9.05,34.67,2,8.76,33.90
0,,notime,2,9.14,42.942,3,9.36,44.021,1,8.91,42.803
