HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
1,7.83,7.83,3,8.10,8.10,4,8.14,8.14,6,8.41,8.41,2,7.88,7.88,5,8.40,8.40
1,11.24,19.07,3,11.20,19.31,4,11.18,19.33,5,11.10,19.52,2,11.27,19.15,6,11.30,19.70
4,10.73,29.81,5,10.51,29.82,3,10.29,29.62,1,9.82,29.34,2,10.30,29.46,6,10.24,29.95
3,10.15,39.96,5,10.16,39.99,4,10.36,39.98,1,10.36,39.70,2,10.27,39.73,6,10.24,40.19
2,9.97,49.93,4,10.03,50.02,5,10.10,50.09,3,10.22,49.93,1,9.97,49.71,6,10.08,50.28
4,10.15,1:00.09,3,10.01,1:00.04,5,10.05,1:00.14,2,9.87,59.80,1,10.08,59.79,6,10.11,1:00.39
1,8.73,1:08.83,2,8.85,1:08.89,4,8.97,1:09.11,3,9.20,1:09.00,5,9.35,1:09.15,6,9.04,1:09.44
1,9.26,1:18.10,2,9.29,1:18.19,5,9.17,1:18.28,4,9.25,1:18.26,3,9.11,1:18.26,6,9.20,1:18.64
1,9.49,1:27.59,2,9.51,1:27.70,4,9.54,1:27.83,3,9.49,1:27.75,5,9.58,1:27.84,6,9.44,1:28.08
1,9.55,1:37.15,3,9.60,1:37.30,4,9.59,1:37.42,2,9.53,1:37.29,5,9.59,1:37.44,6,9.62,1:37.70
1,9.69,1:46.84,2,9.64,1:46.95,4,9.67,1:47.09,3,9.74,1:47.04,5,9.68,1:47.13,6,9.62,1:47.32
1,9.54,1:56.38,2,9.53,1:56.48,5,9.61,1:56.71,3,9.53,1:56.57,4,9.45,1:56.58,6,9.82,1:57.15
4,9.42,2:05.81,2,9.23,2:05.72,5,9.22,2:05.93,3,9.20,2:05.78,1,9.14,2:05.72,6,10.13,2:07.28
1,9.08,2:14.886,2,9.26,2:14.974,5,9.34,2:15.262,3,9.31,2:15.090,4,9.47,2:15.188,6,10.53,2:17.808
