LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Benjamin STUTHRIDGE POSITION,Benjamin STUTHRIDGE LAP TIME,Benjamin STUTHRIDGE ELAPSED TIME
3,15.719,15.719,4,16.016,16.016,2,15.557,15.557,1,15.090,15.090
4,12.092,27.810,3,11.622,27.637,2,11.988,27.544,1,12.228,27.317
4,11.046,38.856,3,11.155,38.792,2,11.051,38.594,1,10.977,38.294
4,9.922,48.777,3,9.889,48.681,1,9.872,48.466,2,10.259,48.553
3,9.071,57.848,2,9.067,57.747,1,8.993,57.458,4,9.602,58.154
3,9.037,1:06.884,1,9.008,1:06.755,2,9.306,1:06.764,4,9.662,1:07.816
1,8.915,1:15.799,2,9.117,1:15.871,3,9.114,1:15.878,4,9.901,1:17.717
1,8.815,1:24.613,3,9.286,1:25.157,2,9.116,1:24.993,4,10.249,1:27.965
1,9.58,1:34.187,2,9.44,1:34.590,3,9.64,1:34.630,4,10.79,1:38.746
