Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,7.73,7.73,5,8.32,8.32,2,7.90,7.90,3,8.05,8.05,4,8.18,8.18,6,8.54,8.54
1,11.13,18.86,5,11.02,19.34,2,11.11,19.01,3,11.07,19.12,4,11.08,19.26,6,10.92,19.46
1,10.75,29.61,5,10.62,29.96,2,10.71,29.72,3,10.71,29.83,4,10.69,29.95,6,10.67,30.13
2,10.24,39.85,4,10.10,40.06,1,10.02,39.74,3,10.10,39.93,6,10.33,40.28,5,9.95,40.08
2,10.21,50.06,4,10.16,50.22,1,10.19,49.93,3,10.22,50.15,5,9.96,50.24,6,10.36,50.44
3,10.65,1:00.71,4,10.62,1:00.84,1,10.66,1:00.59,2,10.48,1:00.63,5,10.68,1:00.92,6,10.63,1:01.07
3,10.37,1:11.08,4,10.39,1:11.23,1,10.44,1:11.03,2,10.41,1:11.04,5,10.40,1:11.32,6,10.41,1:11.48
4,10.22,1:21.30,3,10.01,1:21.24,1,10.05,1:21.08,2,10.16,1:21.20,5,10.13,1:21.45,6,10.11,1:21.59
4,10.29,1:31.59,2,10.16,1:31.40,1,10.15,1:31.23,3,10.27,1:31.47,5,10.28,1:31.73,6,10.25,1:31.84
3,10.09,1:41.68,1,10.03,1:41.43,6,23.19,1:54.42,2,10.07,1:41.54,4,10.11,1:41.84,5,10.10,1:41.94
3,9.86,1:51.54,1,9.87,1:51.30,6,19.71,2:14.13,2,9.88,1:51.42,5,10.08,1:51.92,4,9.97,1:51.91
3,9.68,2:01.22,2,9.70,2:01.00,6,12.05,2:26.18,1,9.56,2:00.98,5,10.38,2:02.30,4,9.72,2:01.63
3,9.67,2:10.89,2,9.76,2:10.76,6,11.00,2:37.18,1,9.64,2:10.62,5,10.89,2:13.19,4,9.62,2:11.25
3,9.76,2:20.650,2,9.83,2:20.583,6,10.46,2:47.639,1,9.89,2:20.502,5,11.37,2:24.560,4,9.49,2:20.732
