Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME
5,10.510,10.510,4,10.360,10.360,1,10.050,10.050,2,10.140,10.140,3,10.200,10.200
2,13.180,23.690,5,13.780,24.150,3,13.790,23.850,4,13.850,24.000,1,13.480,23.680
1,12.610,36.300,5,12.640,36.790,2,12.490,36.350,4,12.630,36.630,3,12.900,36.590
2,11.500,47.810,5,11.230,48.030,1,11.260,47.620,3,11.280,47.910,4,11.340,47.930
3,11.700,59.510,2,11.470,59.500,1,11.610,59.230,5,11.760,59.680,4,11.720,59.660
3,10.660,1:10.180,2,10.550,1:10.050,1,10.720,1:09.950,5,10.680,1:10.370,4,10.660,1:10.320
2,10.850,1:21.040,3,11.020,1:21.080,1,10.820,1:20.770,5,10.910,1:21.280,4,10.860,1:21.190
2,10.810,1:31.850,3,10.880,1:31.970,1,10.890,1:31.660,4,10.770,1:32.050,5,10.890,1:32.090
2,11.190,1:43.050,3,11.310,1:43.280,1,11.280,1:42.940,4,11.230,1:43.290,5,11.210,1:43.300
2,11.300,1:54.350,3,11.270,1:54.550,1,11.280,1:54.220,5,11.320,1:54.610,4,11.300,1:54.610
2,10.710,2:05.060,3,10.530,2:05.090,1,10.680,2:04.910,5,10.740,2:05.350,4,10.620,2:05.230
2,10.380,2:15.450,3,10.510,2:15.610,1,10.440,2:15.360,5,10.400,2:15.760,4,10.490,2:15.720
2,10.550,2:26.000,3,10.540,2:26.150,1,10.450,2:25.810,5,10.540,2:26.300,4,10.480,2:26.210
3,10.620,2:36.620,2,10.360,2:36.510,1,10.440,2:36.250,5,30.230,2:56.540,4,10.510,2:36.720
