SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
4,7.46,7.46,3,7.11,7.11,1,6.88,6.88,2,6.97,6.97,5,7.58,7.58
4,9.01,16.47,3,9.03,16.14,1,9.05,15.93,2,9.06,16.03,5,9.12,16.70
4,8.44,24.91,3,8.63,24.77,1,8.63,24.56,2,8.57,24.60,5,8.53,25.23
3,8.55,33.46,4,8.84,33.61,2,8.83,33.39,1,8.76,33.36,5,36.36,1:01.59
3,9.11,42.562,4,9.17,42.772,2,9.16,42.541,1,9.09,42.446,5,20.58,1:22.165
