Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
4,13.070,13.070,2,12.830,12.830,1,12.610,12.610,3,13.070,13.070
3,9.710,22.780,1,9.640,22.470,2,10.010,22.630,4,10.020,23.100
2,9.310,32.100,1,9.590,32.070,3,9.650,32.290,4,9.420,32.520
2,9.430,41.530,1,9.380,41.450,4,9.440,41.740,3,9.180,41.700
2,9.450,50.990,1,9.390,50.850,4,9.450,51.190,3,9.390,51.090
2,9.210,1:00.200,1,9.220,1:00.070,4,9.450,1:00.640,3,9.310,1:00.410
1,9.410,1:09.620,2,9.600,1:09.680,4,9.850,1:10.490,3,9.330,1:09.750
1,9.680,1:19.300,2,9.660,1:19.340,4,10.020,1:20.520,3,9.620,1:19.370
1,9.930,1:29.230,2,9.920,1:29.260,4,10.320,1:30.840,3,9.960,1:29.330
