Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
1,13.68,13.68,3,13.90,13.90,2,13.78,13.78,4,14.02,14.02
1,11.08,24.76,3,11.02,24.92,2,11.08,24.86,4,11.15,25.17
1,10.15,34.91,3,10.20,35.12,2,10.15,35.01,4,10.04,35.21
1,10.55,45.46,3,10.57,45.69,2,10.55,45.56,4,10.61,45.82
2,10.26,55.72,3,10.18,55.87,1,9.99,55.55,4,10.18,56.00
2,9.47,1:05.19,3,9.46,1:05.33,1,9.53,1:05.08,4,9.61,1:05.61
2,9.43,1:14.62,3,9.49,1:14.82,1,9.44,1:14.52,4,9.68,1:15.29
2,9.43,1:24.05,3,9.51,1:24.33,1,9.41,1:23.93,4,10.31,1:25.60
2,9.62,1:33.661,3,9.85,1:34.176,1,9.58,1:33.506,4,10.95,1:36.542
