Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Atsuko TAKATA POSITION,Atsuko TAKATA LAP TIME,Atsuko TAKATA ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Tatiana ZIMOVA POSITION,Tatiana ZIMOVA LAP TIME,Tatiana ZIMOVA ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
2,8.956,8.956,4,9.285,9.285,5,9.501,9.501,3,9.018,9.018,6,9.748,9.748,1,8.787,8.787
1,13.973,22.928,4,14.372,23.657,5,14.227,23.728,3,14.305,23.323,6,14.134,23.882,2,14.535,23.321
6,12.838,35.766,5,11.927,35.583,3,11.772,35.500,1,12.029,35.351,4,11.679,35.560,2,12.174,35.495
1,10.336,46.101,6,10.994,46.577,3,10.739,46.238,4,10.968,46.319,5,10.786,46.346,2,10.721,46.215
1,10.564,56.664,5,10.572,57.148,3,10.694,56.931,4,10.816,57.135,6,11.194,57.540,2,10.680,56.895
2,11.449,1:08.113,4,11.077,1:08.225,3,11.265,1:08.196,5,11.154,1:08.289,6,11.086,1:08.625,1,11.087,1:07.981
3,11.357,1:19.470,4,11.498,1:19.723,2,11.272,1:19.467,6,11.711,1:19.999,5,11.361,1:19.986,1,11.449,1:19.430
3,10.862,1:30.331,4,10.663,1:30.386,1,10.755,1:30.222,5,10.694,1:30.693,6,10.923,1:30.909,2,10.891,1:30.320
6,11.507,1:41.838,3,10.841,1:41.226,2,10.594,1:40.815,4,10.611,1:41.304,5,10.596,1:41.505,1,10.481,1:40.801
1,9.661,1:51.499,4,10.527,1:51.752,3,10.829,1:51.644,6,10.984,1:52.288,5,10.375,1:51.879,2,10.773,1:51.573
1,10.333,2:01.832,4,10.752,2:02.503,2,10.600,2:02.243,6,12.753,2:05.040,5,10.693,2:02.571,3,10.832,2:02.405
1,10.921,2:12.752,5,10.540,2:13.042,3,10.586,2:12.829,6,12.690,2:17.730,4,10.379,2:12.950,2,10.416,2:12.820
2,10.565,2:23.317,5,11.029,2:24.071,3,10.645,2:23.473,6,13.768,2:31.497,1,10.333,2:23.282,4,10.690,2:23.510
2,10.80,2:34.114,5,11.66,2:35.725,3,10.92,2:34.392,6,14.03,2:45.524,1,10.30,2:33.573,4,10.89,2:34.398
