Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME
2,14.02,14.02,3,14.15,14.15,1,13.90,13.90,4,15.21,15.21
2,9.97,23.99,3,9.93,24.08,1,10.00,23.90,4,11.12,26.33
2,9.22,33.21,3,9.28,33.36,1,9.22,33.12,4,10.83,37.16
2,9.00,42.21,3,8.92,42.28,1,9.02,42.14,4,10.61,47.77
2,8.97,51.18,3,8.98,51.26,1,8.97,51.11,4,10.61,58.38
2,9.05,1:00.23,3,9.05,1:00.31,1,9.03,1:00.14,4,11.06,1:09.44
2,9.12,1:09.35,3,9.11,1:09.42,1,9.14,1:09.28,4,10.78,1:20.22
1,9.05,1:18.40,3,9.18,1:18.60,2,9.30,1:18.58,4,10.82,1:31.04
1,9.31,1:27.703,0,,PEN,2,10.57,1:29.145,3,10.93,1:41.970
