XU Aili POSITION,XU Aili LAP TIME,XU Aili ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,Camille de SERRES-RAINVILLE POSITION,Camille de SERRES-RAINVILLE LAP TIME,Camille de SERRES-RAINVILLE ELAPSED TIME
1,7.39,7.39,3,7.58,7.58,2,7.46,7.46,4,7.82,7.82
1,9.59,16.98,3,9.61,17.19,2,9.55,17.01,4,9.47,17.29
4,9.42,26.40,1,8.96,26.15,3,9.36,26.37,2,9.05,26.34
4,9.27,35.67,1,9.07,35.22,3,9.23,35.60,2,9.16,35.50
4,9.51,45.180,1,9.34,44.56,3,9.40,45.00,2,9.40,44.90
