Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Milada DOSLA POSITION,Milada DOSLA LAP TIME,Milada DOSLA ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
3,14.71,14.71,2,14.57,14.57,1,14.47,14.47,4,14.89,14.89
3,11.97,26.68,2,12.01,26.58,1,11.98,26.45,4,11.92,26.81
1,11.36,38.04,3,11.59,38.17,2,11.61,38.06,4,11.55,38.36
1,10.24,48.28,2,10.14,48.31,3,10.45,48.51,4,10.28,48.64
2,9.69,57.97,1,9.45,57.76,4,9.86,58.37,3,9.65,58.29
2,9.62,1:07.59,1,9.72,1:07.48,4,9.98,1:08.35,3,9.52,1:07.81
2,9.67,1:17.26,1,9.68,1:17.16,4,10.28,1:18.63,3,9.56,1:17.37
2,9.72,1:26.98,1,9.70,1:26.86,4,10.85,1:29.48,2,9.61,1:26.98
2,10.06,1:37.04,1,9.95,1:36.81,4,11.36,1:40.824,3,10.84,1:37.811
