Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME
3,13.27,13.27,1,13.13,13.13,0,,,2,13.24,13.24,0,,
3,10.24,23.52,2,10.25,23.39,0,,,1,9.89,23.13,4,0.00,23.54
4,9.57,33.10,2,9.64,33.04,0,,,1,9.83,32.96,3,9.51,33.06
2,9.87,42.97,1,9.77,42.81,0,,,4,10.12,43.09,3,9.95,43.01
3,9.73,52.70,1,9.70,52.52,0,,,4,9.66,52.75,2,9.69,52.70
2,9.76,1:02.47,1,9.83,1:02.35,0,,,4,9.84,1:02.60,3,9.84,1:02.55
4,10.13,1:12.60,1,9.61,1:11.96,0,,,3,9.70,1:12.30,2,9.64,1:12.19
2,8.84,1:21.44,1,9.24,1:21.20,0,,,4,9.75,1:22.06,3,9.72,1:21.91
3,9.47,1:30.905,1,9.34,1:30.537,0,,DNS,2,8.58,1:30.639,4,10.85,1:32.752
