Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME
1,8.57,8.57,3,8.85,8.85,2,8.72,,4,8.88,8.88,6,9.07,9.07,5,8.94,8.94
3,11.05,19.62,2,10.66,19.51,1,10.68,,5,10.99,19.87,6,10.90,19.97,4,10.78,19.72
3,9.92,29.54,2,9.89,29.40,1,9.78,,5,10.00,29.87,6,10.01,29.98,4,9.98,29.70
3,9.62,39.16,2,9.64,39.04,1,9.78,,5,9.45,39.32,6,9.45,39.43,4,9.54,39.24
3,9.73,48.89,2,9.75,48.79,1,9.75,,5,9.69,49.01,6,9.75,49.18,4,9.76,49.00
2,9.63,58.52,3,9.79,58.58,1,9.77,,4,9.67,58.68,6,9.76,58.94,5,9.81,58.81
1,9.31,1:07.83,2,9.42,1:08.00,6,10.54,,3,9.47,1:08.15,5,9.50,1:08.44,4,9.40,1:08.21
1,9.64,1:17.47,2,9.54,1:17.54,6,9.63,,3,9.56,1:17.71,5,9.42,1:17.86,4,9.56,1:17.77
1,9.65,1:27.12,2,9.67,1:27.21,6,9.67,,3,9.71,1:27.42,5,9.82,1:27.68,4,9.75,1:27.52
1,9.73,1:36.85,2,9.72,1:36.93,6,9.88,,5,10.03,1:37.45,4,9.65,1:37.33,3,9.75,1:37.27
1,9.76,1:46.61,2,9.69,1:46.62,6,10.14,,5,10.21,1:47.66,3,9.48,1:46.81,4,10.14,1:47.41
2,9.55,1:56.16,1,9.40,1:56.02,6,10.09,,5,10.44,1:58.10,3,9.51,1:56.32,4,10.42,1:57.83
2,9.49,2:05.65,1,9.54,2:05.56,6,10.24,,5,10.47,2:08.57,3,9.65,2:05.97,4,10.68,2:08.51
2,9.75,2:15.40,1,9.67,2:15.23,6,11.43,,5,11.08,2:19.636,3,9.90,2:15.87,4,10.84,2:19.324
