Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,7.12,7.12,1,6.90,6.90,3,7.19,7.19,4,7.33,7.33
2,9.19,16.31,1,8.99,15.89,4,9.48,16.67,3,9.07,16.40
3,8.93,25.24,1,8.60,24.49,4,8.75,25.42,2,8.62,25.02
3,8.96,34.20,1,8.69,33.18,4,8.81,34.23,2,8.65,33.67
3,9.16,43.361,1,8.87,42.042,4,9.56,43.788,2,8.81,42.472
