Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME
4,14.33,14.33,1,13.66,13.66,3,14.03,14.03,2,13.91,13.91
4,10.13,24.46,1,10.35,24.01,3,10.39,24.42,2,10.15,24.06
4,10.78,35.24,1,10.11,34.12,3,10.64,35.06,2,10.14,34.20
3,10.18,45.42,1,10.14,44.26,4,11.28,46.34,2,10.13,44.33
3,9.97,55.39,1,10.18,54.44,4,11.59,57.93,2,10.22,54.55
3,10.07,1:05.46,1,10.35,1:04.79,4,11.99,1:09.92,2,10.32,1:04.87
3,10.48,1:15.94,2,10.79,1:15.58,4,12.41,1:22.33,1,10.44,1:15.31
3,10.27,1:26.21,2,10.49,1:26.07,4,12.39,1:34.72,1,10.26,1:25.57
3,10.63,1:36.831,2,10.47,1:36.539,4,12.26,1:46.976,1,10.49,1:36.057
