SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
3,12.72,12.72,2,12.69,12.69,1,12.65,12.65,4,12.93,12.93
3,9.35,22.07,1,9.26,21.95,2,9.36,22.01,4,9.14,22.07
3,9.08,31.15,2,9.10,31.05,1,8.91,30.92,4,9.33,31.40
3,9.21,40.36,2,9.24,40.29,1,9.29,40.21,4,9.09,40.49
3,9.68,50.04,2,9.66,49.95,1,9.64,49.85,4,9.63,50.12
2,9.62,59.66,3,9.81,59.76,1,9.72,59.57,4,9.73,59.85
1,8.88,1:08.54,3,9.02,1:08.78,2,9.08,1:08.65,4,9.09,1:08.94
1,8.97,1:17.51,3,9.01,1:17.79,2,8.98,1:17.63,4,8.98,1:17.92
1,8.92,1:26.426,3,8.87,1:26.655,2,8.90,1:26.527,4,9.09,1:27.002
