WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,AMIRGALIYEVA Aliya POSITION,AMIRGALIYEVA Aliya LAP TIME,AMIRGALIYEVA Aliya ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,VOLKOVITSKAYA Alyona POSITION,VOLKOVITSKAYA Alyona LAP TIME,VOLKOVITSKAYA Alyona ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
1,14.71,14.71,3,14.81,,5,14.93,14.93,4,14.91,14.91,2,14.74,14.74
2,11.27,25.98,4,11.26,,5,11.21,26.14,3,11.09,26.00,1,11.16,25.90
3,10.95,36.93,4,10.99,,5,11.01,37.15,1,10.73,36.73,2,10.94,36.84
3,10.48,47.41,2,10.29,,5,10.44,47.59,4,10.75,47.48,1,10.36,47.20
2,10.23,57.64,3,10.33,,5,10.25,57.84,3,10.20,57.68,1,10.36,57.56
2,9.93,1:07.57,3,22.58,,4,25.13,1:22.97,5,26.02,1:23.70,1,9.92,1:07.48
1,10.00,1:17.57,3,11.79,,4,13.13,1:36.10,5,16.31,1:40.01,2,10.52,1:18.00
1,10.17,1:27.74,3,11.74,,4,11.56,1:47.66,5,12.80,1:52.81,2,10.81,1:28.81
1,10.52,1:38.26,3,13.43,,3,13.23,2:00.890,4,11.87,2:04.680,2,11.22,1:40.03
