XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME,Rei TOYOFUKU POSITION,Rei TOYOFUKU LAP TIME,Rei TOYOFUKU ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
4,10.34,10.34,1,9.92,9.92,2,10.04,10.04,3,10.21,10.21,6,10.57,10.57,5,10.35,10.35
5,13.72,24.06,2,13.72,23.64,3,13.72,23.76,4,13.67,23.88,6,13.61,24.18,1,13.18,23.53
5,13.48,37.54,2,13.52,37.16,3,13.50,37.26,4,13.52,37.40,6,13.50,37.68,1,13.51,37.04
4,13.09,50.63,1,13.18,50.34,5,13.48,50.74,6,13.41,50.81,3,12.87,50.55,2,13.42,50.46
6,12.83,1:03.46,1,12.65,1:02.99,4,12.45,1:03.19,5,12.52,1:03.33,3,12.56,1:03.11,2,12.64,1:03.10
4,11.31,1:14.77,1,11.44,1:14.43,5,11.67,1:14.86,6,11.66,1:14.99,2,11.48,1:14.59,3,11.63,1:14.73
1,9.70,1:24.47,2,10.11,1:24.54,5,9.97,1:24.83,6,9.97,1:24.96,3,10.08,1:24.67,4,10.03,1:24.76
1,10.11,1:34.58,2,10.13,1:34.67,6,10.13,1:34.96,5,9.90,1:34.86,3,10.11,1:34.78,4,10.09,1:34.85
1,9.73,1:44.31,6,18.17,1:52.84,3,9.79,1:44.75,4,9.97,1:44.83,5,16.05,1:50.83,2,9.82,1:44.67
1,9.61,1:53.92,6,14.32,2:07.16,3,9.35,1:54.10,4,9.37,1:54.20,5,10.50,2:01.33,2,9.37,1:54.04
2,9.67,2:03.59,6,12.74,2:19.90,1,9.23,2:03.33,3,9.51,2:03.71,5,13.48,2:14.81,4,9.70,2:03.74
2,9.20,2:12.79,6,13.75,2:33.65,1,9.02,2:12.35,3,9.09,2:12.80,5,11.94,2:26.75,4,9.40,2:13.14
2,9.23,2:22.02,6,12.04,2:45.69,1,9.16,2:21.51,3,9.53,2:22.33,5,11.37,2:38.12,4,9.61,2:22.75
2,9.47,2:31.486,5,12.04,2:57.722,1,9.44,2:30.949,3,9.99,2:32.320,0,,PEN,4,10.15,2:32.893
