Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
3,14.03,14.03,2,13.92,13.92,1,13.90,13.90
2,10.31,24.34,3,10.53,24.45,1,10.33,24.23
3,10.53,34.87,2,10.35,34.80,1,10.51,34.74
3,9.98,44.85,2,9.91,44.71,1,9.96,44.70
3,9.66,54.51,1,9.41,54.12,2,9.52,54.22
3,9.33,1:03.84,1,9.46,1:03.58,2,9.47,1:03.69
3,9.21,1:13.05,1,9.22,1:12.80,2,9.21,1:12.90
3,9.21,1:22.26,1,9.25,1:22.05,2,9.25,1:22.15
3,9.45,1:31.708,1,9.45,1:31.493,2,9.49,1:31.632
