CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
2,12.74,12.74,1,12.67,12.67,3,12.86,12.86,4,12.96,12.96
2,9.67,22.41,1,9.67,22.34,3,9.65,22.51,4,9.66,22.62
3,9.57,31.98,1,9.56,31.90,4,9.59,32.10,2,9.30,31.92
4,9.69,41.67,1,9.43,41.33,3,9.44,41.54,2,9.51,41.43
4,9.29,50.96,1,9.26,50.59,3,9.25,50.79,2,9.25,50.68
4,9.07,1:00.03,2,9.15,59.74,3,9.04,59.83,1,8.94,59.62
4,8.83,1:08.86,2,8.87,1:08.61,3,8.89,1:08.72,1,8.89,1:08.51
3,9.56,1:18.42,2,8.89,1:17.50,4,23.23,1:31.95,1,8.86,1:17.37
3,11.04,1:29.452,2,9.26,1:26.754,4,14.80,1:46.749,1,9.13,1:26.498
