Michele ANTONIOLI POSITION,Michele ANTONIOLI LAP TIME,Michele ANTONIOLI ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
3,9.396,9.396,1,9.256,9.256,5,9.624,9.624,4,9.610,9.610,6,9.967,9.967,2,9.258,9.258
5,12.207,21.603,4,12.290,21.545,6,12.086,21.710,1,11.653,21.263,2,11.346,21.313,3,12.132,21.389
5,11.290,32.893,6,11.451,32.995,2,10.986,32.695,4,11.627,32.889,3,11.552,32.865,1,11.232,32.621
5,10.955,43.847,6,10.924,43.919,1,10.698,43.393,4,10.920,43.809,3,10.768,43.632,2,10.874,43.494
4,10.553,54.400,6,10.602,54.521,3,10.881,54.274,2,10.331,54.139,5,10.836,54.468,1,10.634,54.128
3,10.103,1:04.502,4,10.119,1:04.639,5,10.376,1:04.649,1,10.257,1:04.396,6,10.393,1:04.861,2,10.288,1:04.415
4,10.215,1:14.717,1,9.569,1:14.208,5,10.186,1:14.835,3,10.257,1:14.653,6,10.017,1:14.878,2,10.196,1:14.611
4,9.608,1:24.324,1,9.705,1:23.912,5,9.626,1:24.461,3,9.581,1:24.233,6,9.798,1:24.676,2,9.526,1:24.137
4,9.567,1:33.891,1,9.611,1:33.522,5,9.542,1:34.002,3,9.634,1:33.866,6,9.644,1:34.319,2,9.446,1:33.582
3,9.613,1:43.504,1,9.467,1:42.988,5,9.642,1:43.643,4,9.767,1:43.633,6,9.441,1:43.759,2,9.643,1:43.225
4,9.211,1:52.714,1,9.359,1:52.346,5,9.274,1:52.917,3,9.064,1:52.696,6,9.580,1:53.339,2,9.288,1:52.513
4,9.323,2:02.037,1,9.375,2:01.721,5,9.295,2:02.211,3,9.338,2:02.034,6,9.378,2:02.716,2,9.280,2:01.792
4,9.453,2:11.490,1,9.445,2:11.165,5,9.418,2:11.629,3,9.428,2:11.461,6,10.171,2:12.887,2,9.456,2:11.248
4,9.45,2:20.937,1,9.66,2:20.820,5,9.49,2:21.115,3,9.44,2:20.900,6,10.66,2:23.545,2,9.60,2:20.848
