Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,PARK Jin-Hwan POSITION,PARK Jin-Hwan LAP TIME,PARK Jin-Hwan ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
1,12.60,12.60,2,12.90,12.90,3,12.90,12.90,5,13.06,13.06,4,13.01,13.01
1,9.67,22.28,2,9.47,22.37,3,9.51,22.41,4,9.37,22.43,5,9.63,22.65
1,9.04,31.32,4,9.24,31.62,3,9.09,31.51,2,8.97,31.41,5,9.18,31.83
1,9.18,40.50,4,9.13,40.75,3,9.10,40.61,2,9.14,40.56,5,9.07,40.91
1,9.29,49.79,2,9.26,50.01,3,9.40,50.01,4,9.48,50.04,5,9.26,50.18
1,9.52,59.31,4,9.56,59.57,2,9.33,59.35,3,9.40,59.45,5,9.52,59.70
2,9.48,1:08.80,4,9.32,1:08.90,1,9.29,1:08.65,3,9.40,1:08.86,5,9.39,1:09.10
1,9.56,1:18.36,3,9.54,1:18.44,5,10.20,1:18.85,2,9.52,1:18.38,4,9.44,1:18.54
2,9.86,1:28.213,0,,DQ,4,10.71,1:29.560,1,9.82,1:28.200,3,9.68,1:28.217
