Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
3,9.39,9.39,1,9.04,9.04,2,9.20,9.20,5,9.64,9.64,4,9.45,9.45
3,13.22,22.61,1,13.16,22.20,2,13.19,22.39,5,13.23,22.87,4,13.24,22.69
3,12.11,34.72,1,12.26,34.46,2,12.21,34.60,5,12.11,34.98,4,12.11,34.80
3,12.01,46.73,1,11.99,46.45,2,11.99,46.59,5,11.98,46.96,4,12.06,46.86
3,12.08,58.81,1,12.15,58.60,2,12.12,58.71,5,12.10,59.06,4,12.04,58.90
3,11.74,1:10.55,1,11.73,1:10.33,2,11.75,1:10.46,5,11.76,1:10.82,4,11.76,1:10.66
3,11.09,1:21.64,1,11.17,1:21.50,2,11.10,1:21.56,5,11.09,1:21.91,4,11.08,1:21.74
3,10.33,1:31.97,2,10.29,1:31.79,1,10.08,1:31.64,5,10.30,1:32.21,4,10.34,1:32.08
1,9.66,1:41.63,2,9.86,1:41.65,3,10.04,1:41.68,5,9.62,1:41.83,4,9.72,1:41.80
1,9.26,1:50.89,2,9.32,1:50.97,4,9.50,1:51.18,5,9.45,1:51.28,3,9.21,1:51.01
1,9.23,2:00.12,3,9.26,2:00.23,4,9.29,2:00.47,5,9.32,2:00.60,2,9.20,2:00.21
3,9.47,2:09.59,2,9.27,2:09.50,4,9.36,2:09.83,5,9.35,2:09.95,1,9.05,2:09.26
3,9.64,2:19.23,2,9.31,2:18.81,4,9.54,2:19.37,5,9.74,2:19.69,1,9.36,2:18.62
3,9.83,2:29.055,2,9.56,2:28.365,4,9.79,2:29.151,5,10.72,2:30.410,1,9.58,2:28.201
