KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
3,13.23,13.23,1,13.08,13.08,2,13.08,13.08,4,13.40,13.40
3,9.83,23.06,1,9.91,22.99,2,9.94,23.02,4,9.72,23.12
4,10.03,33.09,1,9.96,32.95,2,9.97,32.99,3,9.95,33.07
4,9.39,42.48,3,9.45,42.40,1,9.27,42.26,2,9.25,42.32
4,9.15,51.63,3,9.15,51.55,2,9.14,51.40,1,9.08,51.40
4,8.68,1:00.31,3,8.75,1:00.30,2,8.82,1:00.22,1,8.75,1:00.15
3,33.41,1:33.72,4,43.33,1:43.63,2,9.05,1:09.27,1,8.72,1:08.87
3,20.01,1:53.73,4,18.26,2:01.89,2,9.27,1:18.54,1,9.33,1:18.20
3,16.72,2:10.450,0,,YC,1,9.95,1:28.490,2,10.33,1:28.530
