Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
2,6.96,6.96,1,6.85,6.85,3,6.99,6.99,4,7.07,7.07,5,7.19,7.19
4,9.08,16.04,1,8.96,15.81,2,8.93,15.92,3,8.95,16.02,5,8.98,16.17
4,8.63,24.67,1,8.46,24.27,2,8.42,24.34,3,8.42,24.44,5,8.62,24.79
4,8.69,33.36,1,8.65,32.92,2,8.63,32.97,3,8.62,33.06,5,8.67,33.46
4,8.88,42.234,1,8.95,41.866,2,8.95,41.913,3,8.87,41.926,5,8.85,42.310
