Matej FILIP POSITION,Matej FILIP LAP TIME,Matej FILIP ELAPSED TIME,Roger VALLVERDU IMBERNON POSITION,Roger VALLVERDU IMBERNON LAP TIME,Roger VALLVERDU IMBERNON ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
2,8.17,8.17,4,8.52,8.52,1,8.05,8.05,5,8.56,8.56,3,8.31,8.31
2,10.86,19.03,5,10.99,19.51,1,10.86,18.91,4,10.77,19.33,3,10.89,19.20
2,10.02,29.05,5,9.95,29.46,1,10.03,28.94,4,9.93,29.26,3,9.97,29.17
2,9.84,38.89,5,9.85,39.31,1,9.75,38.69,4,9.83,39.09,3,9.81,38.98
4,10.08,48.97,5,9.98,49.29,1,9.66,48.35,2,9.55,48.64,3,9.93,48.91
4,10.13,59.10,5,10.05,59.34,1,9.68,58.03,2,9.56,58.20,3,9.47,58.38
4,10.41,1:09.51,5,10.43,1:09.77,1,9.60,1:07.63,2,9.65,1:07.85,3,9.59,1:07.97
4,10.71,1:20.22,5,10.68,1:20.45,1,9.55,1:17.18,3,9.72,1:17.57,2,9.60,1:17.57
4,11.07,1:31.29,5,11.08,1:31.53,1,9.50,1:26.68,3,9.90,1:27.47,2,9.55,1:27.12
4,11.17,1:42.46,5,11.58,1:43.11,1,9.60,1:36.28,3,10.39,1:37.86,2,9.83,1:36.95
4,11.45,1:53.91,5,12.23,1:55.34,1,9.73,1:46.01,3,11.02,1:48.88,2,10.11,1:47.06
4,11.62,2:05.53,5,12.88,2:08.22,1,9.83,1:55.84,3,11.74,2:00.62,2,10.52,1:57.58
4,11.55,2:17.08,5,13.11,2:21.33,1,10.23,2:06.07,3,12.22,2:12.84,2,11.01,2:08.59
4,11.52,2:28.597,5,13.23,2:34.555,1,10.13,2:16.192,3,13.04,2:25.879,2,11.62,2:20.208
