Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,9.29,9.29,4,9.70,9.70,2,9.39,9.39,3,9.51,9.51,5,9.87,9.87,6,10.08,10.08
1,13.28,22.57,4,13.22,22.92,2,13.27,22.66,3,13.27,22.78,5,13.22,23.09,6,13.16,23.24
1,12.88,35.45,4,12.90,35.82,2,12.90,35.56,3,12.90,35.68,5,12.96,36.05,6,13.00,36.24
1,12.69,48.14,4,12.69,48.51,2,12.70,48.26,3,12.72,48.40,5,12.62,48.67,6,12.62,48.86
2,11.93,1:00.07,4,11.79,1:00.30,1,11.73,59.99,3,11.67,1:00.07,5,11.72,1:00.39,6,11.76,1:00.62
3,10.24,1:10.31,5,10.31,1:10.61,2,10.25,1:10.24,1,10.08,1:10.15,4,10.05,1:10.44,6,10.16,1:10.78
3,10.37,1:20.68,5,10.39,1:21.00,2,10.35,1:20.59,1,10.36,1:20.51,4,10.37,1:20.81,6,10.30,1:21.08
1,10.09,1:30.77,5,10.18,1:31.18,3,10.36,1:30.95,2,10.36,1:30.87,4,10.21,1:31.02,6,10.23,1:31.31
1,9.77,1:40.54,5,9.80,1:40.98,3,9.77,1:40.72,2,9.77,1:40.64,4,9.86,1:40.88,6,9.79,1:41.10
3,9.61,1:50.15,5,9.48,1:50.46,2,9.42,1:50.14,1,9.34,1:49.98,4,9.42,1:50.30,6,9.46,1:50.56
5,9.71,1:59.86,6,9.43,1:59.89,2,9.28,1:59.42,1,9.36,1:59.34,3,9.34,1:59.64,4,9.10,1:59.66
6,9.83,2:09.69,5,9.47,2:09.36,3,9.26,2:08.68,2,9.26,2:08.60,4,9.31,2:08.95,1,8.68,2:08.34
6,10.09,2:19.78,5,9.64,2:19.00,3,9.00,2:17.68,2,9.03,2:17.63,4,9.48,2:18.43,1,8.95,2:17.29
6,10.65,2:30.423,5,10.41,2:29.407,3,9.29,2:26.967,2,9.21,2:26.839,4,9.95,2:28.371,1,9.44,2:26.727
