KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME
1,15.71,15.71,3,15.93,15.93,2,15.90,15.90
2,11.88,27.60,3,11.75,27.68,1,11.68,27.59
1,11.27,38.88,2,11.20,38.89,3,11.58,39.17
3,10.44,49.32,1,9.99,48.88,2,9.89,49.06
3,9.81,59.14,1,9.99,58.88,2,10.02,59.08
3,9.89,1:09.04,1,9.90,1:08.78,2,9.83,1:08.91
3,9.83,1:18.87,1,9.93,1:18.71,2,9.84,1:18.75
3,9.53,1:28.40,1,9.46,1:28.17,2,9.54,1:28.30
1,9.31,1:37.711,3,9.81,1:37.979,2,9.53,1:37.825
