Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME
2,13.44,13.44,1,13.25,13.25,3,13.48,13.48,4,13.48,13.48
2,10.64,24.08,1,10.65,23.91,3,10.63,24.11,4,10.77,24.25
2,10.73,34.82,1,10.62,34.54,4,10.77,34.89,3,10.60,34.85
3,10.35,45.18,1,10.41,44.96,4,10.33,45.22,2,10.31,45.16
2,9.88,55.07,1,9.97,54.94,4,10.03,55.25,3,9.94,55.11
3,9.99,1:05.06,1,10.01,1:04.95,4,10.02,1:05.28,2,9.93,1:05.04
2,10.21,1:15.27,1,10.03,1:14.98,4,10.29,1:15.57,3,10.35,1:15.40
2,9.97,1:25.25,1,10.14,1:25.12,4,10.28,1:25.85,3,9.88,1:25.28
3,10.48,1:35.724,1,10.25,1:35.367,4,10.56,1:36.404,2,10.19,1:35.469
