Skyler KAH POSITION,Skyler KAH LAP TIME,Skyler KAH ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME
2,8.46,8.46,3,8.59,8.59,1,8.41,8.41,6,8.71,8.71,4,8.64,8.64,5,8.66,8.66,7,8.89,
3,11.73,20.19,5,11.87,20.46,2,11.66,20.07,6,11.88,20.59,4,11.68,20.32,1,11.25,19.91,7,11.73,
4,10.42,30.61,6,10.49,30.95,2,10.44,30.51,7,10.48,31.07,5,10.43,30.75,1,10.50,30.41,3,9.91,
4,9.97,40.58,6,9.91,40.86,3,9.92,40.43,7,9.95,41.02,5,9.99,40.74,2,9.90,40.31,1,9.50,
4,9.94,50.52,6,9.86,50.72,3,9.96,50.39,7,9.78,50.80,5,9.89,50.63,2,10.00,50.31,1,10.18,
3,10.38,1:00.90,6,10.45,1:01.17,3,10.51,1:00.90,7,10.49,1:01.29,5,10.40,1:01.03,2,10.52,1:00.83,1,10.49,
7,10.81,1:11.71,6,10.32,1:11.49,4,10.30,1:11.20,3,9.90,1:11.19,5,10.35,1:11.38,2,10.27,1:11.10,1,10.33,
7,9.84,1:21.55,6,9.51,1:21.00,4,9.56,1:20.76,1,9.18,1:20.37,5,9.52,1:20.90,3,9.54,1:20.64,2,9.49,
7,9.89,1:31.44,4,9.10,1:30.10,6,9.57,1:30.33,1,9.44,1:29.81,5,9.30,1:30.20,3,9.37,1:30.01,2,9.38,
7,10.35,1:41.79,4,9.34,1:39.44,6,9.47,1:39.80,1,9.35,1:39.16,5,9.35,1:39.55,3,9.36,1:39.37,2,9.34,
7,10.80,1:52.59,4,9.38,1:48.82,6,9.49,1:49.29,1,9.37,1:48.53,5,9.39,1:48.94,3,9.37,1:48.74,2,9.40,
7,11.41,2:04.00,3,9.24,1:58.06,6,9.81,1:59.10,1,9.38,1:57.91,5,9.45,1:58.39,4,9.48,1:58.22,2,9.39,
7,12.01,2:16.01,1,9.21,2:07.27,6,10.20,2:09.30,2,9.40,2:07.31,5,9.46,2:07.85,4,9.46,2:07.68,3,9.61,
7,12.43,2:28.44,1,9.35,2:16.62,6,10.71,2:20.01,2,9.43,2:16.74,4,9.98,2:17.83,5,10.52,2:18.20,3,10.09,
