HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,6.94,6.94,3,7.22,7.22,2,7.04,7.04,4,7.32,7.32
1,9.06,16.00,4,9.21,16.43,2,9.05,16.09,3,8.91,16.23
1,8.56,24.56,4,8.60,25.03,2,8.53,24.62,3,8.48,24.71
1,8.74,33.30,4,8.55,33.58,2,8.77,33.39,3,8.71,33.42
2,8.94,42.231,3,8.66,42.239,4,9.11,42.500,1,8.79,42.201
