ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
1,13.48,13.48,3,13.73,13.73,4,13.86,13.86,2,13.62,13.62
1,10.53,24.01,3,10.48,24.21,4,10.43,24.29,2,10.50,24.12
1,10.33,34.34,3,10.35,34.56,4,10.38,34.67,2,10.34,34.46
2,10.18,44.52,3,10.05,44.61,4,10.02,44.69,1,9.89,44.35
2,9.93,54.45,3,9.95,54.56,4,9.95,54.64,1,9.94,54.29
2,9.70,1:04.15,3,9.68,1:04.24,4,9.72,1:04.36,1,9.74,1:04.03
2,9.56,1:13.71,3,9.56,1:13.80,4,9.52,1:13.88,1,9.56,1:13.59
2,9.43,1:23.14,3,9.48,1:23.28,4,9.46,1:23.34,1,9.35,1:22.94
2,9.28,1:32.416,3,9.50,1:32.780,4,9.46,1:32.795,1,9.40,1:32.340
