Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,MA Qiang POSITION,MA Qiang LAP TIME,MA Qiang ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
1,8.93,8.93,3,9.08,9.08,6,9.46,9.46,4,9.27,9.27,2,9.06,9.06,5,9.41,9.41
2,12.67,21.60,3,12.67,21.75,6,12.71,22.17,5,12.72,21.99,4,12.80,21.86,1,12.17,21.58
2,11.21,32.81,3,11.16,32.91,6,11.10,33.27,5,11.12,33.11,4,11.16,33.02,1,11.07,32.65
2,11.27,44.08,3,11.29,44.20,6,11.34,44.61,5,11.36,44.47,4,11.31,44.33,1,11.24,43.89
2,10.29,54.37,3,10.28,54.48,6,10.25,54.86,4,10.08,54.55,5,10.26,54.59,1,10.38,54.27
3,9.86,1:04.23,6,9.99,1:04.47,5,9.60,1:04.46,1,9.48,1:04.03,4,9.74,1:04.33,2,9.87,1:04.14
1,9.85,1:14.08,6,10.03,1:14.50,5,9.94,1:14.40,2,10.12,1:14.15,3,9.92,1:14.25,4,10.19,1:14.33
1,10.17,1:24.25,5,10.14,1:24.64,6,10.42,1:24.82,2,10.21,1:24.36,4,10.29,1:24.54,3,10.19,1:24.52
2,10.17,1:34.42,3,9.87,1:34.51,6,9.97,1:34.79,1,9.94,1:34.30,4,10.10,1:34.64,5,10.23,1:34.75
2,9.88,1:44.30,3,9.88,1:44.39,5,9.90,1:44.69,1,9.87,1:44.17,4,9.89,1:44.53,6,10.00,1:44.75
2,9.63,1:53.93,3,9.65,1:54.04,5,9.61,1:54.30,1,9.65,1:53.82,4,9.63,1:54.16,6,9.87,1:54.62
1,9.45,2:03.38,3,9.49,2:03.53,5,9.46,2:03.76,2,9.63,2:03.45,4,9.49,2:03.65,6,9.83,2:04.45
1,9.35,2:12.73,3,9.63,2:13.16,5,9.57,2:13.33,2,9.56,2:13.01,4,9.66,2:13.31,6,10.10,2:14.55
1,9.61,2:22.331,3,9.59,2:22.745,4,9.54,2:22.862,2,9.64,2:22.649,5,9.78,2:23.087,6,10.31,2:24.853
