Ivan DOLINIC POSITION,Ivan DOLINIC LAP TIME,Ivan DOLINIC ELAPSED TIME,Helmuts SILOVS POSITION,Helmuts SILOVS LAP TIME,Helmuts SILOVS ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
5,22.874,22.874,4,22.745,22.745,6,23.049,23.049,2,22.336,22.336,1,22.328,22.328,3,22.711,22.711
5,12.940,35.814,3,12.713,35.457,6,13.007,36.056,2,12.912,35.247,1,12.870,35.197,4,12.959,35.670
4,12.500,48.313,3,12.698,48.154,6,12.546,48.601,2,12.649,47.895,1,12.625,47.822,5,12.749,48.418
6,12.656,1:00.969,4,12.656,1:00.809,5,12.279,1:00.880,2,12.697,1:00.592,1,12.642,1:00.464,3,12.237,1:00.655
6,11.715,1:12.683,5,11.683,1:12.492,1,11.136,1:12.016,4,11.639,1:12.231,2,11.606,1:12.069,3,11.521,1:12.175
5,11.210,1:23.892,6,11.415,1:23.907,1,11.502,1:23.517,4,11.480,1:23.711,2,11.463,1:23.531,3,11.529,1:23.703
5,11.737,1:35.629,6,11.735,1:35.641,2,11.823,1:35.340,3,11.692,1:35.403,1,11.693,1:35.224,4,11.740,1:35.443
6,10.743,1:46.371,5,10.520,1:46.161,3,10.636,1:45.975,2,10.454,1:45.856,1,10.592,1:45.816,4,10.590,1:46.032
6,9.958,1:56.329,5,10.020,1:56.181,3,9.945,1:55.920,2,9.945,1:55.801,1,9.977,1:55.792,4,9.967,1:55.999
6,9.992,2:06.320,5,9.895,2:06.076,2,9.549,2:05.468,4,9.904,2:05.704,3,9.728,2:05.520,1,9.449,2:05.447
6,10.078,2:16.398,5,10.128,2:16.203,1,9.321,2:14.789,4,9.862,2:15.566,3,9.829,2:15.349,2,9.450,2:14.897
6,10.551,2:26.949,5,10.455,2:26.657,1,9.599,2:24.388,4,10.039,2:25.604,3,9.925,2:25.274,2,9.602,2:24.499
5,10.754,2:37.702,6,11.503,2:38.160,1,10.283,2:34.670,4,10.969,2:36.573,3,10.534,2:35.807,2,10.362,2:34.861
5,,2:37.643,6,,2:38.041,1,,2:34.541,4,0.06,2:36.631,3,0.04,2:35.841,2,,2:34.794
