Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
1,6.811,6.811,2,6.955,6.955,3,7.306,7.306,4,7.329,7.329
1,9.321,16.131,2,9.214,16.169,3,9.435,16.741,4,9.482,16.811
1,9.042,25.172,2,9.141,25.309,4,9.232,25.973,3,9.043,25.853
2,9.413,34.585,1,9.137,34.446,4,9.619,35.592,3,9.116,34.968
2,9.62,44.201,1,9.56,44.003,4,9.90,45.491,3,9.55,44.514
