Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,JEON da-Hye POSITION,JEON da-Hye LAP TIME,JEON da-Hye ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME
1,15.224,15.224,2,15.294,15.294,4,15.773,15.773,3,15.430,15.430
4,11.083,26.307,2,10.955,26.249,3,10.531,26.304,1,10.794,26.223
4,10.442,36.749,3,10.079,36.327,2,10.011,36.314,1,10.045,36.268
4,9.610,46.358,3,9.916,46.242,2,9.882,46.196,1,9.865,46.133
1,9.940,56.297,4,10.205,56.446,3,10.212,56.407,2,10.251,56.383
4,10.664,1:06.960,1,10.181,1:06.626,2,10.313,1:06.720,3,10.341,1:06.724
4,10.128,1:17.088,1,9.934,1:16.560,3,10.137,1:16.857,2,10.018,1:16.741
4,9.998,1:27.086,1,10.118,1:26.678,2,9.968,1:26.824,3,10.100,1:26.840
4,10.26,1:37.338,1,10.48,1:37.154,3,10.41,1:37.232,2,10.33,1:37.170
