Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,Rumiana DIMITROVA POSITION,Rumiana DIMITROVA LAP TIME,Rumiana DIMITROVA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
4,11.82,11.82,3,11.77,11.77,5,11.93,11.93,6,12.09,12.09,1,11.61,11.61,7,12.32,12.32,2,11.66,11.66
7,14.42,26.24,6,14.31,26.08,5,14.01,25.94,2,13.67,25.76,1,14.14,25.75,4,13.57,25.89,3,14.13,25.79
7,13.35,39.59,3,13.04,39.12,5,13.28,39.22,2,13.35,39.11,1,13.25,39.00,6,13.51,39.40,4,13.42,39.21
5,13.41,53.00,1,13.48,52.60,4,13.71,52.93,3,13.69,52.80,2,13.71,52.71,7,13.79,53.19,6,13.88,53.09
1,11.18,1:04.18,2,11.69,1:04.29,6,11.75,1:04.68,4,11.71,1:04.51,3,11.70,1:04.41,7,11.55,1:04.74,5,11.51,1:04.60
2,10.86,1:15.04,5,11.00,1:15.29,7,10.75,1:15.43,6,10.80,1:15.31,3,10.75,1:15.16,1,10.24,1:14.98,4,10.64,1:15.24
4,10.13,1:25.17,6,10.13,1:25.42,7,10.09,1:25.52,2,9.83,1:25.14,5,10.15,1:25.31,3,10.17,1:25.15,1,9.80,1:25.04
3,10.24,1:35.41,6,10.34,1:35.76,7,10.30,1:35.82,2,10.15,1:35.29,5,10.33,1:35.64,4,10.38,1:35.53,1,10.16,1:35.20
3,10.30,1:45.71,5,10.11,1:45.87,7,10.09,1:45.91,2,10.32,1:45.61,4,10.17,1:45.81,5,10.34,1:45.87,1,10.33,1:45.53
4,10.21,1:55.92,3,9.94,1:55.81,6,10.36,1:56.27,2,10.14,1:55.75,5,10.25,1:56.06,7,10.57,1:56.44,1,10.14,1:55.67
2,9.89,2:05.81,4,10.16,2:05.97,6,10.50,2:06.77,3,10.07,2:05.82,5,10.05,2:06.11,7,10.62,2:07.06,1,10.06,2:05.73
1,9.37,2:15.18,4,9.77,2:15.74,6,10.69,2:17.46,3,9.77,2:15.59,5,9.86,2:15.97,7,11.26,2:18.32,2,9.81,2:15.54
1,9.71,2:24.89,4,9.89,2:25.63,6,11.26,2:28.72,3,9.95,2:25.54,5,9.98,2:25.95,7,11.83,2:30.15,2,9.87,2:25.41
1,10.13,2:35.02,3,10.18,2:35.791,5,11.65,2:40.337,7,25.01,2:50.488,4,10.26,2:36.191,6,12.27,2:42.390,2,10.28,2:35.69
