JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Bohdan MOSHENSKYI POSITION,Bohdan MOSHENSKYI LAP TIME,Bohdan MOSHENSKYI ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME
1,6.77,6.77,2,6.89,6.89,3,7.00,7.00,5,7.62,7.62,4,7.16,7.16
2,9.03,15.80,1,8.90,15.79,3,8.94,15.94,5,9.78,17.40,4,9.28,16.44
3,8.88,24.68,1,8.50,24.29,2,8.38,24.32,5,9.69,27.09,4,8.83,25.27
3,9.20,33.88,2,8.63,32.92,1,8.48,32.80,5,9.99,37.08,4,9.01,34.28
3,9.40,43.28,2,8.65,41.57,1,8.66,41.46,5,10.01,47.09,4,9.23,43.51
