CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME
1,12.32,12.32,3,12.53,12.53,2,12.43,12.43,4,12.65,
1,9.15,21.47,3,9.14,21.67,2,9.16,21.59,4,9.11,
1,9.04,30.51,3,9.10,30.77,2,9.08,30.67,4,9.11,
1,8.95,39.46,3,8.86,39.63,2,8.89,39.56,4,8.84,
1,9.17,48.63,3,9.19,48.82,2,9.18,48.74,4,9.15,
1,8.83,57.46,4,9.09,57.91,2,8.82,57.56,3,8.87,
1,8.40,1:05.86,3,8.35,1:06.26,2,8.40,1:05.96,4,16.43,
1,8.37,1:14.23,3,8.34,1:14.60,2,8.45,1:14.41,4,9.54,
2,8.59,1:22.82,3,8.35,1:22.95,1,8.38,1:22.79,4,8.75,
2,8.51,1:31.33,3,8.50,1:31.45,1,8.32,1:31.11,4,9.11,
2,8.61,1:39.94,3,8.65,1:40.10,1,8.71,1:39.82,4,8.98,
2,8.83,1:48.77,3,8.80,1:48.90,1,8.89,1:48.71,4,9.07,
2,9.23,1:58.00,3,9.16,1:58.06,1,9.20,1:57.91,4,8.97,
2,9.28,2:07.28,3,9.33,2:07.39,1,9.25,2:07.16,4,8.83,
2,8.60,2:15.88,3,8.82,2:16.21,1,8.63,2:15.79,4,8.69,
2,8.66,2:24.54,3,8.47,2:24.68,1,8.66,2:24.45,4,8.78,
2,8.48,2:33.02,3,8.48,2:33.16,1,8.48,2:32.93,4,8.90,
2,8.48,2:41.50,3,8.45,2:41.61,1,8.52,2:41.45,4,9.25,
