Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
2,12.65,12.65,1,12.55,12.55,3,12.78,12.78,4,12.90,12.90
3,9.82,22.47,2,9.74,22.29,1,9.37,22.15,4,9.66,22.56
3,9.67,32.14,1,9.66,31.95,2,9.82,31.97,4,9.69,32.25
3,9.82,41.96,1,9.83,41.78,2,9.89,41.86,4,9.80,42.05
4,9.87,51.83,2,9.86,51.64,1,9.64,51.50,3,9.66,51.71
4,9.42,1:01.25,3,9.40,1:01.04,2,9.41,1:00.91,1,9.09,1:00.80
4,9.28,1:10.53,3,9.16,1:10.20,2,9.14,1:10.05,1,9.17,1:09.97
4,9.50,1:20.03,3,9.20,1:19.40,2,9.22,1:19.27,1,9.22,1:19.19
4,10.15,1:30.180,3,9.39,1:28.788,2,9.51,1:28.779,1,9.46,1:28.647
