Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,Subodh Balavant PATIL POSITION,Subodh Balavant PATIL LAP TIME,Subodh Balavant PATIL ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
1,9.25,9.25,6,9.85,9.85,3,9.39,9.39,4,9.50,9.50,2,9.30,9.30,5,9.65,9.65
2,12.77,22.02,6,12.50,22.35,4,12.73,22.12,5,12.63,22.13,1,12.64,21.94,3,12.41,22.06
3,11.15,33.17,5,11.26,33.61,4,11.22,33.34,6,11.60,33.73,1,11.13,33.07,2,11.04,33.10
3,11.36,44.53,5,11.28,44.89,4,11.31,44.65,6,11.22,44.95,1,11.30,44.37,2,11.36,44.46
3,11.34,55.87,5,11.20,56.09,4,11.30,55.95,6,11.28,56.23,1,11.28,55.65,2,11.33,55.79
3,11.32,1:07.19,5,11.40,1:07.49,4,11.37,1:07.32,6,11.50,1:07.73,1,11.32,1:06.97,2,11.29,1:07.08
2,10.92,1:18.11,5,11.04,1:18.53,4,10.99,1:18.31,6,11.51,1:19.24,1,11.12,1:18.09,3,11.10,1:18.18
3,9.90,1:28.01,5,10.14,1:28.67,4,9.97,1:28.28,6,12.02,1:31.26,2,9.90,1:27.99,1,9.65,1:27.83
3,9.42,1:37.43,5,10.14,1:38.81,4,9.50,1:37.78,6,12.36,1:43.62,2,9.34,1:37.33,1,9.40,1:37.23
3,9.29,1:46.72,5,10.40,1:49.21,4,9.63,1:47.41,6,14.02,1:57.64,2,9.23,1:46.56,1,9.26,1:46.49
3,9.25,1:55.97,5,10.93,2:00.14,4,9.86,1:57.27,6,13.41,2:11.05,2,9.17,1:55.73,1,9.15,1:55.64
3,9.45,2:05.42,5,11.32,2:11.46,4,10.21,2:07.48,6,14.42,2:25.47,2,9.18,2:04.91,1,9.16,2:04.80
3,9.84,2:15.26,5,13.35,2:24.81,4,10.55,2:18.03,6,13.88,2:39.35,2,9.29,2:14.20,1,9.22,2:14.02
3,10.31,2:25.561,5,11.83,2:36.638,4,10.92,2:28.947,6,14.14,2:53.483,2,9.78,2:23.975,1,9.49,2:23.507
