Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,Rafal PIORECKI POSITION,Rafal PIORECKI LAP TIME,Rafal PIORECKI ELAPSED TIME,Walter RUSK POSITION,Walter RUSK LAP TIME,Walter RUSK ELAPSED TIME,CHEN Xin POSITION,CHEN Xin LAP TIME,CHEN Xin ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME
1,8.190,8.190,2,8.332,8.332,4,8.836,8.836,3,8.498,8.498,6,9.098,9.098,5,9.082,9.082
2,11.562,19.753,1,11.329,19.661,4,11.307,20.143,3,11.314,19.811,6,11.291,20.389,5,11.094,20.175
2,11.162,30.915,1,11.217,30.878,4,11.241,31.384,3,11.263,31.075,6,11.150,31.540,5,11.286,31.462
2,11.255,42.170,1,11.165,42.043,4,11.270,42.653,3,11.298,42.373,6,11.304,42.844,5,11.241,42.703
2,11.484,53.653,1,11.146,53.190,4,11.227,53.880,3,11.300,53.673,6,11.123,53.967,5,11.213,53.916
3,11.545,1:05.199,1,11.578,1:04.768,5,11.515,1:05.395,2,11.403,1:05.076,4,11.347,1:05.314,6,11.531,1:05.448
6,11.162,1:16.360,3,10.811,1:15.579,4,10.348,1:15.743,1,10.211,1:15.287,5,10.911,1:16.224,2,10.084,1:15.532
6,10.557,1:26.917,3,10.219,1:25.798,4,10.194,1:25.937,1,10.248,1:25.535,5,10.325,1:26.549,2,10.021,1:25.553
4,10.863,1:37.780,2,9.763,1:35.560,6,23.663,1:49.600,1,9.826,1:35.362,3,10.898,1:37.447,5,21.753,1:47.306
4,11.035,1:48.815,1,10.288,1:45.849,6,19.935,2:09.536,2,10.490,1:45.852,3,11.118,1:48.565,5,16.099,2:03.405
4,11.302,2:00.117,2,11.146,1:56.995,6,13.660,2:23.196,1,10.975,1:56.827,3,11.433,1:59.999,5,13.015,2:16.420
4,11.589,2:11.706,2,11.329,2:08.323,6,12.837,2:36.033,1,11.329,2:08.155,3,11.479,2:11.477,5,15.196,2:31.616
4,11.481,2:23.187,2,11.236,2:19.559,6,13.594,2:49.627,1,11.085,2:19.241,3,11.624,2:23.102,5,13.962,2:45.578
4,11.463,2:34.650,2,10.460,2:30.019,0,,,1,10.686,2:29.927,3,11.348,2:34.450,5,14.182,2:59.760
