Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
3,12.764,12.764,4,12.981,12.981,2,12.702,12.702,1,12.598,12.598,5,13.220,13.220
3,10.370,23.133,2,9.980,22.961,1,10.075,22.776,4,10.602,23.200,5,10.269,23.489
4,9.543,32.676,3,9.593,32.553,2,9.715,32.491,1,9.199,32.399,5,9.444,32.933
4,9.512,42.188,3,9.426,41.979,2,9.469,41.959,1,9.481,41.879,5,9.553,42.485
4,9.547,51.734,1,9.230,51.208,2,9.419,51.378,3,9.552,51.431,5,9.426,51.911
4,9.087,1:00.821,1,9.050,1:00.258,2,8.908,1:00.286,3,8.992,1:00.423,5,8.946,1:00.856
5,9.340,1:10.160,2,9.128,1:09.385,1,9.062,1:09.348,3,9.145,1:09.568,4,9.026,1:09.882
5,9.883,1:20.042,1,8.849,1:18.234,3,9.136,1:18.483,2,8.915,1:18.482,4,9.019,1:18.900
5,10.30,1:30.340,1,9.56,1:27.793,2,9.44,1:27.923,3,9.51,1:27.992,4,9.10,1:27.999
