KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME
1,16.26,16.26,2,16.35,16.35,3,16.47,16.47
1,13.44,29.70,2,13.47,29.82,3,13.49,29.96
2,12.60,42.30,1,12.45,42.27,3,12.47,42.43
3,10.54,52.84,1,10.29,52.56,2,10.23,52.66
3,9.69,1:02.53,1,9.69,1:02.25,2,9.71,1:02.37
3,9.42,1:11.95,1,9.47,1:11.72,2,9.46,1:11.83
3,9.44,1:21.39,1,9.39,1:21.11,2,9.46,1:21.29
3,9.46,1:30.85,1,9.49,1:30.60,2,9.51,1:30.80
0,,PEN,1,9.70,1:40.293,2,10.00,1:40.793
