SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,9.12,9.12,4,9.67,9.67,5,9.88,9.88,3,9.45,9.45,2,9.20,9.20
3,12.93,22.05,4,12.64,22.31,5,12.54,22.42,2,12.54,21.99,1,12.76,21.96
4,11.23,33.28,5,11.09,33.40,1,10.73,33.15,2,11.24,33.23,3,11.31,33.27
3,10.00,43.28,4,9.93,43.33,1,10.05,43.20,2,10.00,43.23,5,10.69,43.96
1,9.93,53.21,3,10.13,53.46,4,10.30,53.50,2,10.21,53.44,5,9.59,53.55
3,10.22,1:03.43,4,10.11,1:03.57,2,9.87,1:03.37,1,9.76,1:03.20,5,10.15,1:03.70
2,9.54,1:12.97,5,9.65,1:13.22,4,9.79,1:13.16,3,9.82,1:13.02,1,9.16,1:12.86
3,9.53,1:22.50,5,9.34,1:22.56,4,9.35,1:22.51,2,9.36,1:22.38,1,9.36,1:22.22
2,8.98,1:31.48,3,9.04,1:31.60,5,15.71,1:38.22,1,8.99,1:31.37,4,9.42,1:31.64
2,9.17,1:40.65,4,9.27,1:40.87,5,19.53,1:57.75,1,9.07,1:40.44,3,9.02,1:40.66
1,8.94,1:49.59,3,9.42,1:50.29,5,12.25,2:10.00,2,9.31,1:49.75,4,10.33,1:50.99
1,9.10,1:58.69,3,9.64,1:59.93,5,10.33,2:20.33,2,9.39,1:59.14,4,11.19,2:02.18
1,9.32,2:08.01,3,10.16,2:10.09,5,10.16,2:30.49,2,9.30,2:08.44,4,11.16,2:13.34
1,10.01,2:18.016,3,10.71,2:20.800,4,10.98,2:41.463,2,9.65,2:18.086,0,,DQ
