LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME
4,13.41,13.41,2,13.29,13.29,1,13.18,13.18,3,13.30,13.30
4,9.95,23.36,3,9.88,23.17,2,9.84,23.02,1,9.55,22.85
4,9.30,32.66,3,9.36,32.53,2,9.38,32.40,1,9.45,32.30
4,9.45,42.11,3,9.41,41.94,2,9.45,41.85,1,9.45,41.75
4,9.44,51.55,3,9.46,51.40,2,9.46,51.31,1,9.45,51.20
4,9.62,1:01.17,3,9.62,1:01.02,2,9.62,1:00.93,1,9.62,1:00.82
4,9.57,1:10.74,3,9.69,1:10.71,2,9.68,1:10.61,1,9.69,1:10.51
2,9.27,1:20.01,4,9.58,1:20.29,1,9.31,1:19.92,3,9.67,1:20.18
1,9.04,1:29.047,3,9.28,1:29.565,2,9.33,1:29.242,4,9.52,1:29.699
