LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,Kieran GUAN POSITION,Kieran GUAN LAP TIME,Kieran GUAN ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,Zen Sheng Sian KOH POSITION,Zen Sheng Sian KOH LAP TIME,Zen Sheng Sian KOH ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME
5,13.41,13.41,3,12.95,,1,12.68,12.68,4,13.07,13.07,2,12.85,12.85
5,9.29,22.70,3,9.62,,1,9.63,22.31,4,9.60,22.67,2,9.56,22.41
2,9.08,31.78,4,9.44,,1,9.46,31.77,5,9.50,32.17,3,9.49,31.90
1,8.85,40.63,4,9.19,,2,8.97,40.74,5,9.18,41.35,3,8.98,40.88
1,9.20,49.83,4,10.07,,3,9.29,50.03,5,10.15,51.50,2,9.10,49.98
1,9.06,58.89,5,23.58,,3,9.21,59.24,4,10.36,1:01.86,2,9.09,59.07
1,9.35,1:08.24,5,13.73,,3,9.21,1:08.45,4,10.88,1:12.74,2,9.28,1:08.35
1,9.42,1:17.66,5,11.39,,3,9.43,1:17.88,4,11.22,1:23.96,2,9.40,1:17.75
1,9.48,1:27.14,5,12.14,1:52.11,3,9.55,1:27.43,4,11.15,1:35.11,2,9.50,1:27.25
