de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME
1,13.49,13.49,4,13.83,13.83,2,13.59,13.59,3,13.70,13.70,5,13.93,13.93
2,10.29,23.78,4,10.17,24.00,1,10.17,23.76,3,10.16,23.86,5,10.12,24.05
3,9.60,33.38,5,9.55,33.55,2,9.51,33.27,1,9.27,33.13,4,9.44,33.49
3,9.36,42.74,5,9.43,42.98,2,9.44,42.71,1,9.47,42.60,4,9.35,42.84
5,9.83,52.57,4,9.55,52.53,2,9.57,52.28,1,9.48,52.08,3,9.53,52.37
5,9.56,1:02.13,4,9.46,1:01.99,1,9.38,1:01.66,2,9.59,1:01.67,3,9.46,1:01.83
4,9.41,1:11.54,5,9.65,1:11.64,1,9.55,1:11.21,3,9.72,1:11.39,2,9.46,1:11.29
4,9.72,1:21.26,5,9.80,1:21.44,2,9.72,1:20.93,3,9.66,1:21.05,1,9.44,1:20.73
4,9.56,1:30.82,5,9.76,1:31.20,2,9.69,1:30.62,3,9.68,1:30.73,1,9.32,1:30.05
