SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Pavel SHAIDZITSKI POSITION,Pavel SHAIDZITSKI LAP TIME,Pavel SHAIDZITSKI ELAPSED TIME,RYBALKO Alexander POSITION,RYBALKO Alexander LAP TIME,RYBALKO Alexander ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
1,6.792,6.792,3,7.017,7.017,5,7.406,7.406,4,7.369,7.369,2,6.845,6.845
2,9.479,16.270,3,9.421,16.438,5,21.529,28.935,4,9.732,17.100,1,9.349,16.194
1,8.832,25.102,3,8.987,25.425,5,13.753,42.688,4,9.157,26.257,2,9.028,25.222
1,9.345,34.446,3,9.322,34.746,5,12.944,55.631,4,9.537,35.794,2,9.354,34.576
1,9.57,44.015,2,9.46,44.200,4,13.29,1:08.919,3,9.78,45.569,0,,DQ
