Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
1,12.73,12.73,2,12.82,12.82,4,13.06,13.06,3,12.95,12.95
1,10.30,23.03,2,10.30,23.12,4,10.28,23.34,3,10.25,23.20
1,10.06,33.09,2,10.06,33.18,4,10.06,33.40,3,10.07,33.27
2,10.03,43.12,1,9.92,43.10,4,10.04,43.44,3,10.03,43.30
2,9.54,52.66,1,9.44,52.54,4,9.38,52.82,3,9.36,52.66
3,9.31,1:01.97,2,9.32,1:01.86,4,9.25,1:02.07,1,9.01,1:01.67
3,9.18,1:11.15,2,9.13,1:10.99,4,9.26,1:11.33,1,9.16,1:10.83
3,9.21,1:20.36,2,9.24,1:20.23,4,9.27,1:20.60,1,9.32,1:20.15
3,9.58,1:29.940,2,9.60,1:29.825,4,9.71,1:30.302,1,9.60,1:29.747
