Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME
2,7.14,7.14,1,6.94,6.94,3,7.25,7.25,5,9.37,9.37,4,7.47,7.47
3,9.14,16.28,1,9.06,16.00,2,8.87,16.12,5,9.50,18.87,4,8.99,16.46
4,8.79,25.07,2,8.50,24.50,1,8.37,24.49,5,9.94,28.81,3,8.49,24.95
4,8.84,33.91,2,8.61,33.11,1,8.47,32.96,5,9.69,38.50,3,8.79,33.74
4,8.88,42.79,2,8.82,41.93,1,8.63,41.59,5,10.16,48.66,3,8.92,42.66
